preCost,cost,itemDescription
0.64,6.4,pork
0.293,2.93,berries
0.531,5.31,packaged fruit/vegetables
0.424,4.24,coffee
0.41,4.1,citrus fruit
0.224,2.24,rolls/buns
0.001,0.01,beef
0.582,5.82,soda
0.33,3.3,packaged fruit/vegetables
0.473,4.73,white wine
0.84,8.4,white bread
0.028,0.28,chicken
0.179,1.79,whole milk
0.547,5.47,citrus fruit
0.934,9.34,hard cheese
0.928,9.28,yogurt
0.203,2.03,cake bar
0.688,6.88,soda
0.391,3.91,citrus fruit
0.583,5.83,root vegetables
0.836,8.36,brown bread
0.069,0.69,canned fish
0.031,0.31,whole milk
0.658,6.58,other vegetables
0.377,3.77,root vegetables
0.591,5.91,hygiene articles
0.745,7.45,yogurt
0.622,6.22,other vegetables
0.686,6.86,white bread
0.795,7.95,mayonnaise
0.68,6.8,specialty chocolate
0.142,1.42,meat
0.24,2.4,pip fruit
0.78,7.8,other vegetables
0.535,5.35,citrus fruit
0.913,9.13,rolls/buns
0.52,5.2,salty snack
0.711,7.11,beverages
0.515,5.15,butter
0.857,8.57,whole milk
0.565,5.65,whole milk
0.14,1.4,whole milk
0.309,3.09,hamburger meat
0.441,4.41,whipped/sour cream
0.106,1.06,canned beer
0.911,9.11,domestic eggs
0.456,4.56,soda
0.635,6.35,bottled beer
0.653,6.53,hygiene articles
0.1,1,whole milk
0.015,0.15,fruit/vegetable juice
0.151,1.51,sausage
0.459,4.59,root vegetables
0.404,4.04,sausage
0.555,5.55,root vegetables
0.708,7.08,brown bread
0.916,9.16,packaged fruit/vegetables
0.954,9.54,bottled water
0.392,3.92,white bread
0.652,6.52,coffee
0.942,9.42,butter milk
0.564,5.64,newspapers
0.67,6.7,citrus fruit
0.33,3.3,frozen dessert
0.828,8.28,butter milk
0.513,5.13,yogurt
0.053,0.53,liquor
0.824,8.24,butter
0.884,8.84,hard cheese
0.535,5.35,liver loaf
0.797,7.97,pastry
0.959,9.59,tropical fruit
0.939,9.39,whole milk
0.977,9.77,rolls/buns
0.503,5.03,whole milk
0.039,0.39,chocolate
0.304,3.04,rolls/buns
0.945,9.45,other vegetables
0.659,6.59,bathroom cleaner
0.262,2.62,red/blush wine
0.284,2.84,butter milk
0.179,1.79,whole milk
0.596,5.96,other vegetables
0.955,9.55,bottled water
0.569,5.69,yogurt
0.747,7.47,whole milk
0.318,3.18,tropical fruit
0.63,6.3,ham
0.063,0.63,rolls/buns
0.259,2.59,citrus fruit
0.727,7.27,frozen vegetables
0.85,8.5,citrus fruit
0.85,8.5,berries
0.899,8.99,pet care
0.374,3.74,yogurt
0.883,8.83,chewing gum
0.839,8.39,pastry
0.004,0.04,pet care
0.875,8.75,tropical fruit
1,10,oil
0.126,1.26,misc. beverages
0.922,9.22,soda
0.147,1.47,other vegetables
0.593,5.93,canned beer
0.125,1.25,UHT-milk
0.638,6.38,canned beer
0.299,2.99,other vegetables
0.328,3.28,oil
0.768,7.68,other vegetables
0.641,6.41,zwieback
0.508,5.08,tropical fruit
0.362,3.62,hygiene articles
0.348,3.48,brown bread
0.802,8.02,beef
0.167,1.67,canned beer
0.451,4.51,ham
0.477,4.77,root vegetables
0.489,4.89,butter
0.878,8.78,ice cream
0.228,2.28,packaged fruit/vegetables
0.133,1.33,other vegetables
0.656,6.56,misc. beverages
0.674,6.74,other vegetables
0.783,7.83,bottled water
0.485,4.85,rolls/buns
0.855,8.55,liquor
0.949,9.49,root vegetables
0.125,1.25,honey
0.372,3.72,rolls/buns
0.306,3.06,sausage
0.771,7.71,whole milk
0.976,9.76,root vegetables
0.618,6.18,rolls/buns
0.932,9.32,margarine
0.814,8.14,salty snack
0.911,9.11,shopping bags
0.911,9.11,onions
0.228,2.28,whipped/sour cream
0.856,8.56,whole milk
0.192,1.92,citrus fruit
0.345,3.45,cream cheese
0.626,6.26,bottled water
0.684,6.84,pip fruit
0.147,1.47,soda
0.294,2.94,turkey
0.484,4.84,bottled beer
0.58,5.8,other vegetables
0.947,9.47,candy
0.145,1.45,packaged fruit/vegetables
0.72,7.2,rolls/buns
0.979,9.79,mustard
0.27,2.7,soda
0.117,1.17,cream cheese
0.166,1.66,pastry
0.968,9.68,nut snack
0.504,5.04,bottled beer
0.759,7.59,other vegetables
0.953,9.53,other vegetables
0.563,5.63,shopping bags
0.272,2.72,detergent
0.899,8.99,dessert
0.808,8.08,white wine
0.919,9.19,soda
0.457,4.57,pip fruit
0.243,2.43,cream cheese
0.517,5.17,misc. beverages
0.766,7.66,curd
0.785,7.85,other vegetables
0.702,7.02,brown bread
0.355,3.55,sugar
0.915,9.15,root vegetables
0.239,2.39,detergent
0.689,6.89,beef
0.124,1.24,yogurt
0.949,9.49,bottled water
0.272,2.72,candy
0.523,5.23,berries
0.65,6.5,root vegetables
0.104,1.04,seasonal products
0.63,6.3,margarine
0.884,8.84,yogurt
0.884,8.84,yogurt
0.468,4.68,spread cheese
0.338,3.38,whole milk
0.799,7.99,female sanitary products
0.713,7.13,bottled water
0.341,3.41,chewing gum
0.977,9.77,root vegetables
0.835,8.35,pip fruit
0.589,5.89,bottled water
0.639,6.39,rolls/buns
0.2,2,tropical fruit
0.143,1.43,fruit/vegetable juice
0.768,7.68,whole milk
0.457,4.57,whole milk
0.512,5.12,other vegetables
0.355,3.55,fruit/vegetable juice
0.04,0.4,domestic eggs
0.391,3.91,soda
0.672,6.72,curd
0.338,3.38,whipped/sour cream
0.533,5.33,fruit/vegetable juice
0.616,6.16,whole milk
0.411,4.11,tropical fruit
0.17,1.7,rolls/buns
0.253,2.53,long life bakery product
0.08,0.8,coffee
0.41,4.1,whole milk
0.336,3.36,bottled beer
0.954,9.54,root vegetables
0.7,7,other vegetables
0.2,2,bottled beer
0.731,7.31,UHT-milk
0.696,6.96,whole milk
0.99,9.9,root vegetables
0.725,7.25,packaged fruit/vegetables
0.39,3.9,frozen vegetables
0.765,7.65,pot plants
0.993,9.93,whole milk
0.919,9.19,red/blush wine
0.016,0.16,tropical fruit
0.205,2.05,pastry
0.163,1.63,dish cleaner
0.276,2.76,pastry
0.727,7.27,brown bread
0.112,1.12,soda
0.576,5.76,bottled beer
0.773,7.73,tropical fruit
0.775,7.75,processed cheese
0.107,1.07,sausage
0.686,6.86,long life bakery product
0.847,8.47,rolls/buns
0.835,8.35,whole milk
0.565,5.65,pip fruit
0.409,4.09,butter
0.967,9.67,hamburger meat
0.609,6.09,meat
0.693,6.93,curd
0.374,3.74,citrus fruit
0.433,4.33,pork
0.221,2.21,hamburger meat
0.955,9.55,soda
0.939,9.39,canned beer
0.419,4.19,whole milk
0.253,2.53,sliced cheese
0.437,4.37,citrus fruit
0.54,5.4,citrus fruit
0.455,4.55,spices
0.963,9.63,tropical fruit
0.479,4.79,beef
0.939,9.39,pastry
0.865,8.65,citrus fruit
0.517,5.17,whole milk
0.164,1.64,whole milk
0.286,2.86,citrus fruit
0.169,1.69,citrus fruit
0.196,1.96,whole milk
0.944,9.44,tropical fruit
0.72,7.2,bottled water
0.521,5.21,root vegetables
0.762,7.62,root vegetables
0.428,4.28,other vegetables
0.334,3.34,canned beer
0.463,4.63,rolls/buns
0.34,3.4,other vegetables
0.2,2,citrus fruit
0.921,9.21,sausage
0.609,6.09,domestic eggs
0.271,2.71,root vegetables
0.049,0.49,hamburger meat
0.755,7.55,soda
0.031,0.31,other vegetables
0.313,3.13,other vegetables
0.047,0.47,bottled water
0.21,2.1,pastry
0.771,7.71,other vegetables
0.513,5.13,rolls/buns
0.807,8.07,citrus fruit
0.641,6.41,other vegetables
0.139,1.39,citrus fruit
0.108,1.08,onions
0.666,6.66,domestic eggs
0.179,1.79,bottled beer
0.663,6.63,hard cheese
0.142,1.42,root vegetables
0.855,8.55,butter milk
0.742,7.42,hamburger meat
0.263,2.63,butter
0.8,8,meat
0.232,2.32,whole milk
0.986,9.86,pastry
0.568,5.68,sliced cheese
0.616,6.16,ham
0.061,0.61,whole milk
0.052,0.52,other vegetables
0.449,4.49,whole milk
0.248,2.48,coffee
0.041,0.41,beef
0.869,8.69,other vegetables
0.511,5.11,frozen meals
0.298,2.98,canned fish
0.274,2.74,salt
0.366,3.66,curd
0.751,7.51,UHT-milk
0.827,8.27,berries
0.701,7.01,brown bread
0.873,8.73,UHT-milk
0.47,4.7,curd
0.086,0.86,soda
0.704,7.04,pip fruit
0.236,2.36,hygiene articles
0.382,3.82,curd
0.969,9.69,candy
0.116,1.16,beef
0.605,6.05,soda
0.09,0.9,pastry
0.257,2.57,onions
0.044,0.44,onions
0.151,1.51,turkey
0.013,0.13,other vegetables
0.807,8.07,citrus fruit
0.763,7.63,frozen dessert
0.973,9.73,newspapers
0.288,2.88,specialty bar
0.702,7.02,specialty bar
0.377,3.77,canned beer
0.142,1.42,rolls/buns
0.489,4.89,shopping bags
0.054,0.54,curd
0.079,0.79,soda
0.769,7.69,rolls/buns
0.53,5.3,pip fruit
0.312,3.12,rolls/buns
0.533,5.33,spread cheese
0.639,6.39,canned beer
0.026,0.26,yogurt
0.309,3.09,beef
0.626,6.26,whole milk
0.186,1.86,grapes
0.23,2.3,rolls/buns
0.946,9.46,bottled beer
0.557,5.57,onions
0.831,8.31,root vegetables
0.883,8.83,whole milk
0.709,7.09,rolls/buns
0.837,8.37,tropical fruit
0.805,8.05,tropical fruit
0.715,7.15,pastry
0.529,5.29,rolls/buns
0.276,2.76,soda
0.996,9.96,rolls/buns
0.053,0.53,bottled beer
0.265,2.65,sugar
0.231,2.31,rolls/buns
0.426,4.26,beverages
0.971,9.71,other vegetables
0.436,4.36,tropical fruit
0.056,0.56,chicken
0.803,8.03,beef
0.123,1.23,pork
0.631,6.31,brandy
0.092,0.92,other vegetables
0.711,7.11,oil
0.87,8.7,soda
0.121,1.21,root vegetables
0.36,3.6,newspapers
0.679,6.79,other vegetables
0.839,8.39,citrus fruit
0.793,7.93,root vegetables
0.786,7.86,other vegetables
0.991,9.91,whole milk
0.32,3.2,cream cheese
0.484,4.84,turkey
0.739,7.39,whole milk
0.415,4.15,beef
0.118,1.18,liquor (appetizer)
0.82,8.2,chicken
0.133,1.33,whole milk
0.175,1.75,rolls/buns
0.374,3.74,dessert
0.842,8.42,UHT-milk
0.709,7.09,red/blush wine
0.027,0.27,bottled water
0.663,6.63,other vegetables
0.767,7.67,hamburger meat
0.571,5.71,grapes
0.523,5.23,semi-finished bread
0.513,5.13,tropical fruit
0.897,8.97,pork
0.484,4.84,onions
0.535,5.35,whole milk
0.761,7.61,canned beer
0.896,8.96,whole milk
0.3,3,other vegetables
0.699,6.99,whole milk
0.281,2.81,pork
0.245,2.45,sausage
0.541,5.41,newspapers
0.862,8.62,whole milk
0.381,3.81,pastry
0.988,9.88,fish
0.179,1.79,chewing gum
0.025,0.25,grapes
0.049,0.49,pot plants
0.441,4.41,root vegetables
0.803,8.03,herbs
0.029,0.29,dessert
0.66,6.6,curd
0.941,9.41,root vegetables
0.857,8.57,pork
0.107,1.07,grapes
0.498,4.98,beef
0.864,8.64,spread cheese
0.6,6,herbs
0.459,4.59,other vegetables
0.757,7.57,tropical fruit
0.219,2.19,beef
0.33,3.3,whole milk
0.844,8.44,root vegetables
0.234,2.34,onions
0.456,4.56,domestic eggs
0.128,1.28,yogurt
0.61,6.1,whole milk
0.079,0.79,whole milk
0.954,9.54,soda
0.013,0.13,whole milk
0.839,8.39,other vegetables
0.984,9.84,citrus fruit
0.506,5.06,yogurt
0.68,6.8,whipped/sour cream
0.788,7.88,other vegetables
0.108,1.08,berries
0.805,8.05,whole milk
0.028,0.28,berries
0.674,6.74,pork
0.161,1.61,root vegetables
0.475,4.75,tropical fruit
0.419,4.19,whole milk
0.404,4.04,misc. beverages
0.623,6.23,root vegetables
0.503,5.03,pork
0.582,5.82,pork
0.894,8.94,tropical fruit
0.518,5.18,pickled vegetables
0.535,5.35,sausage
0.686,6.86,frozen vegetables
0.886,8.86,soda
0.884,8.84,chicken
0.199,1.99,UHT-milk
0.506,5.06,rolls/buns
0.037,0.37,citrus fruit
0.635,6.35,whole milk
0.676,6.76,rolls/buns
0.337,3.37,ham
0.582,5.82,root vegetables
0.816,8.16,hygiene articles
0.149,1.49,whipped/sour cream
0.988,9.88,beverages
0.442,4.42,beef
0.825,8.25,shopping bags
0.963,9.63,butter milk
0.65,6.5,Instant food products
0.333,3.33,berries
0.697,6.97,whole milk
0.135,1.35,flower (seeds)
0.76,7.6,onions
0.82,8.2,hamburger meat
0.71,7.1,other vegetables
0.005,0.05,cream cheese
0.574,5.74,whole milk
0.051,0.51,pork
0.027,0.27,misc. beverages
0.16,1.6,whole milk
0.715,7.15,cake bar
0.733,7.33,hamburger meat
0.798,7.98,grapes
0.766,7.66,rolls/buns
0.804,8.04,soda
0.725,7.25,tropical fruit
0.556,5.56,sliced cheese
0.568,5.68,soda
0.538,5.38,other vegetables
0.757,7.57,pastry
0.523,5.23,citrus fruit
0.22,2.2,curd
0.557,5.57,whipped/sour cream
0.463,4.63,canned beer
0.511,5.11,roll products
0.82,8.2,soda
0.873,8.73,pot plants
0.309,3.09,root vegetables
0.605,6.05,beef
0.31,3.1,citrus fruit
0.561,5.61,rolls/buns
0.319,3.19,rolls/buns
0.077,0.77,citrus fruit
0.143,1.43,whole milk
0.902,9.02,cream cheese
0.339,3.39,turkey
0.011,0.11,shopping bags
0.974,9.74,bottled beer
0.825,8.25,popcorn
0.968,9.68,whole milk
0.66,6.6,pork
0.304,3.04,hamburger meat
0.797,7.97,root vegetables
0.126,1.26,rolls/buns
0.77,7.7,newspapers
0.696,6.96,newspapers
0.021,0.21,grapes
0.964,9.64,coffee
0.687,6.87,pot plants
0.457,4.57,dish cleaner
0.331,3.31,napkins
0.335,3.35,herbs
0.473,4.73,pastry
0.967,9.67,whole milk
0.458,4.58,rolls/buns
0.972,9.72,tropical fruit
0.626,6.26,grapes
0.095,0.95,pork
0.362,3.62,chewing gum
0.446,4.46,bottled water
0.582,5.82,whipped/sour cream
0.265,2.65,coffee
0.621,6.21,newspapers
0.175,1.75,whipped/sour cream
0.913,9.13,frozen meals
0.235,2.35,whole milk
0.156,1.56,organic sausage
0.828,8.28,dog food
0.684,6.84,root vegetables
0.774,7.74,whole milk
0.56,5.6,oil
0.441,4.41,citrus fruit
0.404,4.04,pasta
0.957,9.57,butter milk
0.336,3.36,pastry
0.016,0.16,root vegetables
0.985,9.85,salt
0.467,4.67,yogurt
0.972,9.72,other vegetables
0.484,4.84,brown bread
0.314,3.14,liquor
0.299,2.99,other vegetables
0.633,6.33,citrus fruit
0.568,5.68,chicken
0.322,3.22,soda
0.175,1.75,onions
0.364,3.64,root vegetables
0.627,6.27,whole milk
0.452,4.52,newspapers
0.306,3.06,hygiene articles
0.74,7.4,dessert
0.273,2.73,other vegetables
0.286,2.86,whole milk
0.214,2.14,other vegetables
0.912,9.12,margarine
0.353,3.53,curd
0.868,8.68,onions
0.306,3.06,whipped/sour cream
0.468,4.68,tropical fruit
0.824,8.24,beef
0.602,6.02,tropical fruit
0.111,1.11,domestic eggs
0.631,6.31,pip fruit
0.028,0.28,cream cheese
0.226,2.26,root vegetables
0.031,0.31,dessert
0.09,0.9,long life bakery product
0.533,5.33,long life bakery product
0.729,7.29,fruit/vegetable juice
0.072,0.72,butter
0.058,0.58,berries
0.03,0.3,grapes
0.268,2.68,citrus fruit
0.933,9.33,tropical fruit
0.573,5.73,newspapers
0.447,4.47,yogurt
0.147,1.47,tropical fruit
0.981,9.81,whole milk
0.97,9.7,rice
0.181,1.81,chicken
0.409,4.09,white bread
0.957,9.57,root vegetables
0.143,1.43,zwieback
0.428,4.28,other vegetables
0.47,4.7,bottled water
0.382,3.82,bottled water
0.026,0.26,whole milk
0.664,6.64,specialty chocolate
0.545,5.45,margarine
0.903,9.03,whipped/sour cream
0.946,9.46,curd
0.364,3.64,chicken
0.861,8.61,misc. beverages
0.339,3.39,liquor
0.744,7.44,whole milk
0.118,1.18,herbs
0.275,2.75,other vegetables
0.716,7.16,other vegetables
0.465,4.65,tropical fruit
0.068,0.68,citrus fruit
0.668,6.68,whole milk
0.42,4.2,yogurt
0.139,1.39,pastry
0.795,7.95,whole milk
0.034,0.34,bottled water
0.905,9.05,rolls/buns
0.507,5.07,ham
0.6,6,ice cream
0.588,5.88,rolls/buns
0.078,0.78,canned beer
0.512,5.12,misc. beverages
0.534,5.34,frozen vegetables
0.133,1.33,hamburger meat
0.847,8.47,pip fruit
0.896,8.96,other vegetables
0.67,6.7,grapes
0.986,9.86,white bread
0.093,0.93,butter
0.753,7.53,tropical fruit
0.085,0.85,whole milk
0.441,4.41,sausage
0.942,9.42,other vegetables
0.059,0.59,soda
0.811,8.11,soda
0.414,4.14,soda
0.444,4.44,beef
0.133,1.33,tropical fruit
0.761,7.61,citrus fruit
0.573,5.73,tropical fruit
0.195,1.95,rolls/buns
0.348,3.48,root vegetables
0.089,0.89,beverages
0.864,8.64,turkey
0.864,8.64,citrus fruit
0.503,5.03,other vegetables
0.537,5.37,finished products
0.987,9.87,whole milk
0.005,0.05,coffee
0.962,9.62,herbs
0.044,0.44,vinegar
0.181,1.81,domestic eggs
0.96,9.6,butter
0.988,9.88,hamburger meat
0.316,3.16,root vegetables
0.504,5.04,yogurt
0.338,3.38,whole milk
0.142,1.42,chicken
0.62,6.2,canned beer
0.645,6.45,candy
0.531,5.31,pip fruit
0.078,0.78,sausage
0.393,3.93,citrus fruit
0.413,4.13,candy
0.258,2.58,root vegetables
0.904,9.04,sliced cheese
0.165,1.65,other vegetables
0.737,7.37,instant coffee
0.476,4.76,soda
0.58,5.8,dish cleaner
0.376,3.76,tropical fruit
0.363,3.63,other vegetables
0.599,5.99,other vegetables
0.994,9.94,whipped/sour cream
0.789,7.89,other vegetables
0.603,6.03,oil
0.795,7.95,brown bread
0.099,0.99,tropical fruit
0.11,1.1,skin care
0.449,4.49,misc. beverages
0.222,2.22,other vegetables
0.959,9.59,other vegetables
0.56,5.6,yogurt
0,0,nut snack
0.321,3.21,yogurt
0.922,9.22,tropical fruit
0.025,0.25,citrus fruit
0.406,4.06,citrus fruit
0.234,2.34,yogurt
0.882,8.82,citrus fruit
0.767,7.67,other vegetables
0.88,8.8,hamburger meat
0.343,3.43,newspapers
0.741,7.41,grapes
0.204,2.04,sugar
0.591,5.91,frozen meals
0.253,2.53,grapes
0.179,1.79,specialty cheese
0.213,2.13,bottled water
0.971,9.71,white bread
0.447,4.47,tropical fruit
0.943,9.43,sliced cheese
0.382,3.82,other vegetables
0.805,8.05,whole milk
0.954,9.54,other vegetables
0.288,2.88,other vegetables
0.465,4.65,meat
0.739,7.39,tropical fruit
0.783,7.83,citrus fruit
0.71,7.1,chocolate
0.953,9.53,pastry
0.918,9.18,yogurt
0.345,3.45,pot plants
0.105,1.05,hygiene articles
0.394,3.94,soda
0.2,2,soda
0.85,8.5,canned fish
0.365,3.65,other vegetables
0.384,3.84,pasta
0.108,1.08,root vegetables
0.237,2.37,white wine
0.433,4.33,root vegetables
0.087,0.87,hamburger meat
0.26,2.6,pork
0.685,6.85,citrus fruit
0.522,5.22,canned beer
0.916,9.16,UHT-milk
0.09,0.9,red/blush wine
0.2,2,coffee
0.781,7.81,brown bread
0.324,3.24,root vegetables
0.618,6.18,tropical fruit
0.98,9.8,chocolate
0.382,3.82,other vegetables
0.052,0.52,tropical fruit
0.435,4.35,rolls/buns
0.762,7.62,curd
0.401,4.01,whole milk
0.185,1.85,whole milk
0.155,1.55,yogurt
0.376,3.76,whole milk
0.482,4.82,yogurt
0.623,6.23,whole milk
0.648,6.48,pork
0.369,3.69,whole milk
0.418,4.18,cake bar
0.953,9.53,tropical fruit
0.032,0.32,sausage
0.881,8.81,pip fruit
0.48,4.8,hamburger meat
0.585,5.85,pork
0.365,3.65,root vegetables
0.123,1.23,bottled water
0.372,3.72,bottled beer
0.134,1.34,meat
0.106,1.06,pot plants
0.344,3.44,pork
0.271,2.71,other vegetables
0.194,1.94,beef
0.274,2.74,whole milk
0.809,8.09,seasonal products
0.97,9.7,specialty bar
0.081,0.81,soda
0.961,9.61,rolls/buns
0.259,2.59,meat
0.972,9.72,mayonnaise
0.654,6.54,sliced cheese
0.104,1.04,beef
0.53,5.3,pot plants
0.398,3.98,sausage
0.401,4.01,other vegetables
0.949,9.49,tropical fruit
0.943,9.43,pip fruit
0.856,8.56,grapes
0.753,7.53,pip fruit
0.187,1.87,berries
0.35,3.5,tropical fruit
0.75,7.5,bottled water
0.108,1.08,whole milk
0.82,8.2,root vegetables
0.387,3.87,dessert
0.928,9.28,brown bread
0.384,3.84,tropical fruit
0.819,8.19,softener
0.554,5.54,pork
0.586,5.86,softener
0.67,6.7,other vegetables
0.399,3.99,root vegetables
0.458,4.58,sausage
0.68,6.8,dental care
0.453,4.53,hamburger meat
0.887,8.87,domestic eggs
0.449,4.49,UHT-milk
0.057,0.57,citrus fruit
0.504,5.04,whipped/sour cream
0.975,9.75,red/blush wine
0.288,2.88,ham
0.368,3.68,root vegetables
0.71,7.1,root vegetables
0.38,3.8,root vegetables
0.676,6.76,liver loaf
0.597,5.97,citrus fruit
0.001,0.01,tropical fruit
0.807,8.07,rolls/buns
0.772,7.72,beverages
0.671,6.71,frozen vegetables
0.379,3.79,beef
0.263,2.63,shopping bags
0.927,9.27,waffles
0.447,4.47,other vegetables
0.349,3.49,yogurt
0.009,0.09,chocolate
0.58,5.8,rolls/buns
0.322,3.22,whipped/sour cream
0.446,4.46,meat
0.874,8.74,berries
0.319,3.19,whole milk
0.479,4.79,pork
0.853,8.53,other vegetables
0.764,7.64,root vegetables
0.664,6.64,pip fruit
0.144,1.44,meat
0.709,7.09,other vegetables
0.804,8.04,organic sausage
0.591,5.91,other vegetables
0.62,6.2,pastry
0.116,1.16,root vegetables
0.155,1.55,pork
0.962,9.62,other vegetables
0.549,5.49,dish cleaner
0.799,7.99,root vegetables
0.209,2.09,specialty chocolate
0.542,5.42,vinegar
0.198,1.98,berries
0.627,6.27,beef
0.127,1.27,canned fish
0.711,7.11,dishes
0.307,3.07,baking powder
0.891,8.91,napkins
0.482,4.82,fruit/vegetable juice
0.836,8.36,pastry
0.787,7.87,yogurt
0.329,3.29,pip fruit
0.154,1.54,whole milk
0.168,1.68,soda
0.666,6.66,beverages
0.819,8.19,fruit/vegetable juice
0.231,2.31,yogurt
0.15,1.5,whole milk
0.925,9.25,other vegetables
0.31,3.1,pip fruit
0.072,0.72,bottled water
0.042,0.42,root vegetables
0.723,7.23,yogurt
0.349,3.49,hard cheese
0.001,0.01,hamburger meat
0.812,8.12,brown bread
0.713,7.13,onions
0.3,3,frozen potato products
0.228,2.28,chicken
0.937,9.37,salty snack
0.763,7.63,ham
0.745,7.45,fruit/vegetable juice
0.394,3.94,tropical fruit
0.124,1.24,frozen meals
0.807,8.07,chocolate
0.276,2.76,white bread
0.602,6.02,oil
0.636,6.36,other vegetables
0.374,3.74,yogurt
0.663,6.63,dessert
0.492,4.92,butter milk
0.267,2.67,misc. beverages
0.974,9.74,herbs
0.406,4.06,packaged fruit/vegetables
0.155,1.55,tropical fruit
0.788,7.88,bottled beer
0.467,4.67,cream cheese
0.322,3.22,whole milk
0.788,7.88,meat
0.135,1.35,chocolate
0.766,7.66,pet care
0.27,2.7,meat spreads
0.295,2.95,waffles
0.713,7.13,pastry
0.309,3.09,whole milk
0.174,1.74,yogurt
0.065,0.65,butter
0.945,9.45,sausage
0.883,8.83,other vegetables
0.938,9.38,sugar
0.312,3.12,other vegetables
0.161,1.61,rolls/buns
0.036,0.36,pip fruit
0.898,8.98,root vegetables
0.28,2.8,onions
0.274,2.74,misc. beverages
0.823,8.23,jam
0.745,7.45,domestic eggs
0.843,8.43,soda
0.182,1.82,whole milk
0.605,6.05,pork
0.218,2.18,beef
0.194,1.94,pot plants
0.748,7.48,other vegetables
0.495,4.95,sugar
0.522,5.22,waffles
0.586,5.86,bottled water
0.185,1.85,whole milk
0.549,5.49,dishes
0.543,5.43,misc. beverages
0.867,8.67,detergent
0.956,9.56,beef
0.052,0.52,butter
0.458,4.58,soda
0.805,8.05,ham
0.024,0.24,hamburger meat
0.806,8.06,yogurt
0.205,2.05,whole milk
0.12,1.2,UHT-milk
0.75,7.5,shopping bags
0.533,5.33,root vegetables
0.893,8.93,coffee
0.585,5.85,whole milk
0.275,2.75,soda
0.338,3.38,whole milk
0.706,7.06,female sanitary products
0.765,7.65,pip fruit
0.919,9.19,coffee
0.878,8.78,bottled beer
0.747,7.47,root vegetables
0.552,5.52,tropical fruit
0.116,1.16,root vegetables
0.992,9.92,whole milk
0.449,4.49,brown bread
0.032,0.32,shopping bags
0.084,0.84,specialty chocolate
0.562,5.62,curd
0.939,9.39,sugar
0.78,7.8,soda
0.783,7.83,pasta
0.273,2.73,liquor
0.946,9.46,bottled water
0.067,0.67,whole milk
0.468,4.68,rolls/buns
0.024,0.24,tropical fruit
0.395,3.95,beverages
0.006,0.06,frozen vegetables
0.617,6.17,other vegetables
0.178,1.78,salty snack
0.979,9.79,whole milk
0.479,4.79,whole milk
0.848,8.48,fruit/vegetable juice
0.117,1.17,whole milk
0.841,8.41,soda
0.694,6.94,other vegetables
0.421,4.21,tropical fruit
0.839,8.39,fruit/vegetable juice
0.786,7.86,rolls/buns
0.203,2.03,soda
0.724,7.24,dessert
0.637,6.37,other vegetables
0.309,3.09,rolls/buns
0.115,1.15,oil
0.815,8.15,other vegetables
0.733,7.33,coffee
0.189,1.89,root vegetables
0.885,8.85,hamburger meat
0.801,8.01,condensed milk
0.917,9.17,other vegetables
0.781,7.81,salty snack
0.508,5.08,soda
0.745,7.45,beverages
0.572,5.72,brown bread
0.864,8.64,shopping bags
0.959,9.59,citrus fruit
0.73,7.3,dishes
0.988,9.88,butter milk
0.508,5.08,other vegetables
0.661,6.61,whole milk
0.269,2.69,yogurt
0.962,9.62,fish
0.932,9.32,rolls/buns
0.012,0.12,whole milk
0.896,8.96,citrus fruit
0.064,0.64,butter
0.729,7.29,curd
0.566,5.66,frozen vegetables
0.546,5.46,flower (seeds)
0.82,8.2,brown bread
0.114,1.14,whole milk
0.48,4.8,yogurt
0.28,2.8,butter milk
0.929,9.29,butter
0.83,8.3,brown bread
0.793,7.93,rolls/buns
0.639,6.39,canned fish
0.965,9.65,coffee
0.13,1.3,onions
0.989,9.89,frozen vegetables
0.815,8.15,beef
0.253,2.53,root vegetables
0.091,0.91,whole milk
0.535,5.35,ham
0.156,1.56,yogurt
0.844,8.44,other vegetables
0.313,3.13,other vegetables
0.325,3.25,hamburger meat
0.704,7.04,whipped/sour cream
0.348,3.48,long life bakery product
0.03,0.3,pip fruit
0.531,5.31,red/blush wine
0.594,5.94,whole milk
0.632,6.32,root vegetables
0.365,3.65,root vegetables
0.627,6.27,tropical fruit
0.965,9.65,yogurt
0.938,9.38,frozen dessert
0.764,7.64,other vegetables
0.329,3.29,other vegetables
0.052,0.52,margarine
0.615,6.15,bottled water
0.232,2.32,herbs
0.407,4.07,yogurt
0.258,2.58,tropical fruit
0.81,8.1,yogurt
0.801,8.01,cream
0.28,2.8,oil
0.787,7.87,fish
0.762,7.62,chocolate
0.588,5.88,other vegetables
0.979,9.79,mustard
0.808,8.08,sausage
0.459,4.59,frozen meals
0.045,0.45,processed cheese
0.894,8.94,organic sausage
0.28,2.8,canned fish
0.697,6.97,shopping bags
0.433,4.33,coffee
0.721,7.21,canned beer
0.044,0.44,soda
0.762,7.62,beef
0.433,4.33,bottled water
0.08,0.8,citrus fruit
0.219,2.19,bottled water
0.676,6.76,other vegetables
0.619,6.19,sweet spreads
0.187,1.87,chocolate
0.628,6.28,berries
0.743,7.43,softener
0.173,1.73,onions
0.907,9.07,condensed milk
0.49,4.9,dishes
0.487,4.87,rolls/buns
0.332,3.32,citrus fruit
0.712,7.12,onions
0.853,8.53,tropical fruit
